"id","size","flower_n","log_size","repro","size_next","flower_n_next","survival","log_size_next","repro_next"
1,1.99646845027466,6,0.691379844879204,1,3.31242985873637,34,1,1.19768201636706,1
2,6.96823569340848,22,1.94136206409417,1,9.8302366459144,209,1,2.28546300771614,1
3,2.93901590922402,2,1.07807480056402,1,3.54515817589649,4,1,1.26558277842351,1
4,0.326560411631945,NA,-1.11914031941201,0,0.850412146174376,NA,1,-0.162034169160848,0
5,2.31146069415571,1,0.837879659826426,1,1.96598865669027,5,1,0.675995251967877,1
7,10.5472112233182,58,2.35586148595639,1,11.1514722115469,164,1,2.41157152610006,1
8,0.23663720108806,NA,-1.44122710781077,0,NA,NA,0,NA,NA
9,0.0280819265378892,NA,-3.57262909327882,0,0.134381746178884,NA,1,-2.00707067723847,0
10,0.120751077206814,NA,-2.11402406552184,0,0.111597035278536,NA,1,-2.19286079499231,0
11,0.297363231423411,NA,-1.21280088601085,0,0.520170292130502,9,1,-0.653599036151779,1
12,0.032694641446237,NA,-3.42054408465276,0,NA,NA,0,NA,NA
13,3.11146080286678,21,1.13509232744394,1,4.11150666917986,19,1,1.413789547507,1
15,0.13222257895372,1,-2.02326857224711,1,0.249063947704357,2,1,-1.39004559739976,1
16,0.0575244052477137,NA,-2.85554598213695,0,0.0649907955254274,NA,1,-2.73350962641488,0
17,0.208927616872062,NA,-1.56576741775936,0,0.178778040405929,NA,1,-1.72161024030694,0
18,0.0341462242719281,NA,-3.37710326212538,0,NA,NA,0,NA,NA
19,0.122191421461634,NA,-2.1021664355138,0,0.160759918248025,1,1,-1.82784321793557,1
23,1.42587282803933,3,0.354784137117163,1,1.63527778643665,8,1,0.491812689879109,1
24,0.153180223093914,NA,-1.87614012208503,0,0.13080678320465,2,1,-2.03403398194092,1
25,0.155063731981138,NA,-1.86391907249993,0,0.118409358516816,NA,1,-2.13360751812869,0
26,0.038558628533476,NA,-3.25557537695022,0,0.0570520717950097,NA,1,-2.86379088790821,0
27,0.035940669496542,NA,-3.32588576962711,0,0.110500519069991,NA,1,-2.20273506056939,0
28,2.1173336683854,NA,0.750157593519186,0,1.5257442882354,11,1,0.422482348857157,1
29,0.0224007270460109,NA,-3.79866186323667,0,NA,NA,0,NA,NA
30,0.0341159501782464,NA,-3.37799025688962,0,NA,NA,0,NA,NA
31,1.56054843923061,4,0.445037323086805,1,1.69747453153924,21,1,0.529141576826667,1
32,0.349748778270603,NA,-1.05054015859317,0,0.22997023592911,1,1,-1.46980538743688,1
33,0.234176014643766,NA,-1.45168224705223,0,0.600221524319952,2,1,-0.510456484706278,1
34,0.168202956349424,NA,-1.78258395520403,0,0.0942762365091765,1,1,-2.36152611994201,1
35,0.282271377347254,NA,-1.26488633976904,0,0.371221151879432,NA,1,-0.990957297259714,0
36,0.286348364016556,NA,-1.25054615338871,0,0.217054590845973,NA,1,-1.52760638636151,0
37,0.131902512721305,NA,-2.02569216924089,0,0.113099593285787,NA,1,-2.179486491925,0
38,0.0986391022731415,NA,-2.31628752121023,0,NA,NA,0,NA,NA
39,2.52295320978386,1,0.925430124018803,1,3.0624200361429,20,1,1.11920546488274,1
40,0.059169217416515,NA,-2.827353848399,0,0.0566949285421048,NA,1,-2.87007051595061,0
41,0.194714300116011,NA,-1.63622192237755,0,NA,NA,0,NA,NA
42,0.361695700337972,NA,-1.01695202746557,0,0.427394478926036,NA,1,-0.850047853995135,0
44,1.32183518994152,NA,0.279021066442703,0,1.77980778192242,6,1,0.576505370788871,1
45,0.178561701888289,NA,-1.7228210686502,0,0.236040500287583,NA,1,-1.44375187729201,0
46,0.109749354968267,NA,-2.20955610432644,0,0.254399767812069,NA,1,-1.368848360205,0
47,0.0314319305393087,NA,-3.45993100660025,0,0.0546731906215692,NA,1,-2.90638180630811,0
48,0.0518177291373698,NA,-2.96002292693557,0,NA,NA,0,NA,NA
50,0.192981765633745,NA,-1.64515957312227,0,0.497053020422881,1,1,-0.699058577644164,1
51,10.3480256908534,22,2.33679574700851,1,11.2074792644748,48,1,2.4165813468985,1
52,1.21001411869129,NA,0.190632027880484,0,1.99210271939239,5,1,0.689190723792961,1
53,0.14807618196271,NA,-1.91002839466147,0,0.0156343086352337,NA,1,-4.15828750809488,0
54,0.405070799915132,NA,-0.903693412548625,0,NA,NA,0,NA,NA
55,1.61556973833991,1,0.479687673620523,1,2.4259806935356,3,1,0.886235852343283,1
56,0.497454000681337,NA,-0.698252187600301,0,0.818832235497075,5,1,-0.199876056774694,1
57,8.73332961042409,12,2.16714669581153,1,6.39311147850502,33,1,1.85522107922133,1
58,0.148977852374491,NA,-1.9039576258669,0,NA,NA,0,NA,NA
59,0.337133827868784,NA,-1.08727531212156,0,0.56241062005786,4,1,-0.57552305520405,1
60,3.87085036077292,13,1.35347421437014,1,2.21751392557861,21,1,0.796386715036945,1
61,0.192601492036635,NA,-1.64713203283277,0,NA,NA,0,NA,NA
62,3.56057510396351,11,1.26992207787395,1,2.57486018596274,35,1,0.94579523592808,1
63,0.107340248716463,NA,-2.23175159514593,0,0.0758213193410398,NA,1,-2.57937576808201,0
64,0.44502237292678,NA,-0.80963072183975,0,0.52119641509159,4,1,-0.651628311937009,1
65,0.463736142683935,1,-0.76843954651193,1,NA,NA,0,NA,NA
66,1.85946014573305,4,0.620286201366556,1,NA,NA,0,NA,NA
67,0.391112916622462,NA,-0.938758971372619,0,0.314722530579397,NA,1,-1.15606388364101,0
68,0.524384660446833,NA,-0.645529779147369,0,NA,NA,0,NA,NA
69,0.616881847978625,NA,-0.48307776777617,0,0.460819466411474,NA,1,-0.774748925676176,0
70,1.36001366698583,NA,0.307494748951751,0,1.48262632526266,3,1,0.393815059229248,1
72,2.29131719619464,2,0.829126847049823,1,1.90790339283342,NA,1,0.646004939057332,0
73,0.564391098931463,1,-0.572007829979252,1,0.531522237197666,1,1,-0.63201024350965,1
74,0.950881320252696,2,-0.0503660189112172,1,1.07216340139346,5,1,0.0696784777058455,1
75,0.0638100320311304,NA,-2.75184485912535,0,0.0352555430457863,NA,1,-3.34513251256042,0
76,0.553991555316156,NA,-0.590605835462663,0,0.715436732574421,4,1,-0.334862107970153,1
77,0.0824850729772751,NA,-2.49513793562075,0,0.0882556436407127,NA,1,-2.42751763461051,0
78,0.065214722227586,NA,-2.73007003450215,0,NA,NA,0,NA,NA
79,0.94233336901322,2,-0.0593961720933181,1,1.16190713911026,NA,1,0.150062740529189,0
80,0.0722274498149271,NA,-2.62793511399529,0,0.0390616128645254,NA,1,-3.24261506241156,0
81,0.0962851776713879,NA,-2.3404408902865,0,0.0320950280052077,NA,1,-3.43905415164648,0
82,2.27215895488301,5,0.820730460948176,1,0.362377090724502,4,1,-1.01506992225161,1
83,16.5304507692453,20,2.80520418122793,1,10.2756456439229,38,1,2.3297765947997,1
84,4.37969614735411,4,1.47697934923175,1,3.83522241554444,14,1,1.34422742936813,1
85,0.0902838595509101,NA,-2.40479657705038,0,0.149787426485111,NA,1,-1.89853814676818,0
86,0.34594900945135,NA,-1.06146388631255,0,0.361498518115061,NA,1,-1.01749733665849,0
87,0.73427602919434,4,-0.308870259488382,1,NA,NA,0,NA,NA
88,0.17815805111795,NA,-1.72508419503566,0,0.230738804756109,1,1,-1.46646892354274,1
89,0.288592057182303,NA,-1.24274115491194,0,NA,NA,0,NA,NA
92,0.899243354796051,2,-0.10620158615175,1,1.17158590567997,4,1,0.158358305922955,1
93,0.457392220583769,2,-0.78221400544415,1,0.450127046787196,7,1,-0.798225409870543,1
94,1.88552789140864,11,0.634207830186359,1,1.45628014782647,27,1,0.375885340487688,1
95,0.720668119837818,13,-0.327576553026922,1,0.736257647537458,16,1,-0.306175156922636,1
96,0.366140295941605,4,-1.00473869678515,1,NA,NA,0,NA,NA
97,1.18533672098492,4,0.170026886953246,1,1.5008232876476,9,1,0.406013815972196,1
99,5.51804228090415,5,1.70802313812604,1,2.95604156493627,25,1,1.08385106419693,1
100,0.198940229864517,7,-1.61475085181209,1,0.168323663581555,13,1,-1.78186658409483,1
101,0.0900565952048694,5,-2.40731697067647,1,NA,NA,0,NA,NA
102,0.654665887239602,5,-0.423630269307418,1,1.49779503934427,15,1,0.403994052866282,1
103,0.193991779600783,NA,-1.63993949400842,0,0.344651247996407,NA,1,-1.06522224860261,0
104,0.700069132346677,4,-0.356576188319976,1,0.929854507521627,13,1,-0.0727271485985319,1
106,0.00569765798498127,1,-5.16770006840373,1,NA,NA,0,NA,NA
107,0.132530686762631,1,-2.02094106216205,1,0.0353298700244504,NA,1,-3.34302649651821,0
109,0.0871332895332823,NA,-2.44031626913873,0,NA,NA,0,NA,NA
110,0.0612409582614194,NA,-2.79293906067596,0,NA,NA,0,NA,NA
112,1.42848965312235,1,0.356617699485945,1,1.60906965039573,6,1,0.475656155075665,1
114,0.23900390453637,4,-1.43127539021182,1,0.225791011366052,NA,1,-1.48814543600379,0
115,0.0872632129204351,2,-2.4388262918816,1,0.181701071133164,8,1,-1.70539240853319,1
116,2.24113287075895,15,0.80698148389514,1,1.92521832242209,15,1,0.655039375554079,1
117,0.150500187235806,NA,-1.89379095070224,0,0.192075972252176,4,1,-1.64986429640511,1
118,1.04751631990313,NA,0.0464219525525845,0,1.09171017937601,2,1,0.0877454385951471,1
119,2.16566163678107,10,0.772725920669978,1,2.98065728593431,29,1,1.09214384194603,1
121,2.69743660978618,10,0.992301918258159,1,2.31057394148708,10,1,0.837495953190965,1
124,0.0661613893882618,2,-2.71565822806003,1,NA,NA,0,NA,NA
